order_id,order_date,customer_id,product_category,region,sales_amount,discount,profit,payment_method
1,2023-04-04,2977,Electronics,South,1275.26,1.86,280.31,Cash
2,2023-06-01,1131,Electronics,East,3839.25,9.69,919.61,Cash
3,2023-09-26,2684,Clothing,North,144.29,4.98,19.7,UPI
4,2023-03-13,1221,Grocery,West,1496.57,15.1,458.69,Credit Card
5,2023-06-09,2760,Furniture,North,3886.47,9.26,1005.8,Credit Card
6,2023-12-01,4424,Furniture,North,272.14,19.99,13.28,Debit Card
7,2023-11-30,1206,Furniture,West,574.13,10.55,259.25,Cash
8,2023-07-18,4651,Furniture,East,1426.06,18.99,648.41,Debit Card
9,2023-02-06,1824,Clothing,East,1766.87,28.97,231.9,Credit Card
10,2023-02-02,4561,Clothing,West,4850.12,21.99,1932.95,Credit Card
11,2023-06-09,1844,Electronics,East,1647.84,0.11,375.96,UPI
12,2023-08-30,1547,Furniture,East,3028.06,17.36,872.23,Credit Card
13,2023-01-28,4385,Furniture,North,2571.69,7.82,1014.95,Credit Card
14,2023-07-19,4963,Furniture,East,807.67,14.99,116.31,UPI
15,2023-01-28,3863,Grocery,West,1568.73,10.27,483.55,Cash
16,2023-10-19,1851,Furniture,North,472.94,13.11,116.4,Debit Card
17,2023-04-11,4434,Furniture,North,1199.05,25.92,459.58,UPI
18,2023-06-16,3542,Furniture,South,4012.96,18.05,1855.62,Credit Card
19,2023-11-13,3325,Electronics,South,4698.11,10.78,1842.33,Cash
20,2023-09-27,4185,Grocery,South,528.3,29.23,73.13,Debit Card
21,2023-09-12,3913,Electronics,North,3332.93,6.1,1128.11,Cash
22,2023-06-13,4185,Clothing,East,4147.14,12.2,841.51,Cash
23,2023-09-19,3338,Clothing,West,4705.81,2.41,1771.43,UPI
24,2023-12-24,2073,Grocery,West,2472.93,1.81,1142.4,Cash
25,2023-07-29,3179,Electronics,North,3560.34,19.83,462.42,Cash
26,2023-04-11,4280,Electronics,East,220.56,18.26,38.24,Debit Card
27,2023-11-17,1375,Electronics,East,3069.56,25.08,828.33,Credit Card
28,2023-08-04,4216,Grocery,West,2792.29,10.06,957.29,Credit Card
29,2023-02-25,1232,Furniture,East,1398.77,9.35,427.74,Cash
30,2023-08-03,4386,Grocery,West,4621.28,22.25,2254.7,Cash
31,2023-02-25,4547,Clothing,North,3711.29,29.19,1140.25,Cash
32,2023-05-13,4411,Clothing,South,3528.69,8.97,1302.67,Debit Card
33,2023-02-02,4965,Clothing,East,1633.06,7.47,426.41,Debit Card
34,2023-10-31,2916,Electronics,West,4106.48,22.61,605.97,Debit Card
35,2023-05-03,1244,Grocery,North,1189.96,17.27,353.16,Credit Card
36,2023-06-26,4027,Grocery,West,645.18,21.75,166.95,UPI
37,2023-06-21,1681,Grocery,North,3377.74,11.74,1588.52,Cash
38,2023-02-12,4325,Clothing,East,908.43,2.33,345.34,Cash
39,2023-09-11,3885,Electronics,South,2081.17,15.77,538.57,Credit Card
40,2023-01-12,3133,Electronics,South,3770.37,18.87,1318.51,Credit Card
41,2023-08-02,1162,Grocery,East,4031.75,20.11,1643.92,Debit Card
42,2023-03-13,4663,Grocery,North,163.8,4.72,56.74,UPI
43,2023-01-16,4590,Electronics,West,206.57,16.08,78.71,Cash
44,2023-11-26,2025,Electronics,West,2929.44,8.99,404.47,UPI
45,2023-02-27,4386,Furniture,South,1025.17,0.46,185.91,Cash
46,2023-03-04,1458,Furniture,South,3164.14,10.28,1465.7,UPI
47,2023-09-13,4890,Grocery,West,4049.57,26.74,1573.81,Cash
48,2023-07-11,2255,Clothing,North,240.92,16.24,34.79,UPI
49,2023-06-20,4144,Clothing,South,2376.9,13.67,994.15,UPI
50,2023-06-17,3264,Grocery,East,2766.51,21.49,1149.46,Cash
51,2023-06-02,4045,Furniture,East,2269.17,4.69,451.97,Credit Card
52,2023-10-20,4767,Grocery,West,1543.5,3.97,605.77,Cash
53,2023-03-28,1163,Furniture,East,3359.4,19.28,828.61,Debit Card
54,2023-02-24,4214,Clothing,West,3796.89,26.85,1690.86,Cash
55,2023-11-05,4024,Clothing,North,2112.89,21.37,296.16,UPI
56,2023-09-11,4559,Furniture,North,4278.88,20.09,712.72,Debit Card
57,2023-09-18,3030,Electronics,West,4450.04,25.02,539.37,Credit Card
58,2023-01-09,1226,Clothing,South,4049.47,14.21,1966.89,Cash
59,2023-11-17,1074,Grocery,North,2861.03,16.73,661.09,UPI
60,2023-10-13,3635,Grocery,North,477.5,12.75,162.93,UPI
61,2023-01-24,1431,Clothing,North,1583.32,15.26,681.5,Cash
62,2023-07-06,3784,Furniture,West,2238.64,17.28,276.3,UPI
63,2023-04-07,1578,Furniture,East,211.08,8.43,18.96,Debit Card
64,2023-03-08,3841,Clothing,West,4486.46,0.66,2177.99,UPI
65,2023-11-11,1383,Electronics,East,4976.9,26.52,2430.23,Debit Card
66,2023-01-26,1756,Clothing,West,4567.08,25.51,2155.02,Credit Card
67,2023-12-14,3332,Grocery,North,3565.3,7.6,1671.79,UPI
68,2023-04-06,1076,Grocery,West,123.48,8.4,41.22,Debit Card
69,2023-02-09,3477,Clothing,East,2962.54,12.65,991.19,Credit Card
70,2023-07-15,2532,Furniture,East,1350.86,26.84,597.76,Debit Card
71,2023-04-13,3961,Grocery,East,4668.59,29.3,721.81,Debit Card
72,2023-06-20,2331,Electronics,North,2847.18,23.21,324.51,Cash
73,2023-11-23,1103,Furniture,South,3737.11,27.21,641.24,Debit Card
74,2023-03-01,3156,Electronics,East,3907.83,5.53,966.17,UPI
75,2023-10-21,1222,Clothing,East,2715.93,17.32,813.74,Cash
76,2023-03-09,4895,Clothing,South,4073.86,8.53,547.26,Cash
77,2023-05-16,4418,Electronics,North,4446.15,5.44,1398.63,Debit Card
78,2023-09-30,2560,Electronics,South,2513.74,22.74,541.58,Credit Card
79,2023-07-18,1616,Clothing,East,3166.74,0.12,1570.89,UPI
80,2023-11-30,3334,Grocery,East,367.93,13.12,46.56,Credit Card
81,2023-01-18,4499,Grocery,North,3559.54,1.97,993.29,Credit Card
82,2023-04-30,4441,Grocery,South,859.44,17.41,290.9,Debit Card
83,2023-07-15,1679,Electronics,South,4023.98,19.79,1822.43,Cash
84,2023-05-30,1087,Clothing,North,3332.27,5.16,1315.2,UPI
85,2023-10-17,4774,Furniture,East,1800.53,28.28,550.11,Credit Card
86,2023-12-12,3873,Grocery,South,2752.06,25.98,692.4,UPI
87,2023-03-31,3817,Furniture,North,358.66,18.96,31.58,Cash
88,2023-09-02,3007,Electronics,West,1550.25,28.0,405.45,Cash
89,2023-01-26,4836,Electronics,East,3460.26,24.43,843.75,Cash
90,2023-06-05,1430,Electronics,North,3126.34,27.57,615.03,Debit Card
91,2023-04-29,2155,Electronics,South,2770.83,14.52,500.14,Credit Card
92,2023-05-02,3700,Electronics,North,135.18,18.19,-1.36,Credit Card
93,2023-02-25,3888,Electronics,North,3872.07,0.37,1526.27,UPI
94,2023-06-22,4351,Grocery,West,3321.52,5.13,1564.21,Cash
95,2023-05-01,2275,Furniture,East,1894.37,16.11,505.23,Credit Card
96,2023-03-14,2730,Grocery,North,3186.85,6.49,505.71,Debit Card
97,2023-02-09,4173,Furniture,South,1662.83,24.09,348.04,Debit Card
98,2023-04-09,4790,Electronics,East,3626.75,25.51,979.91,UPI
99,2023-11-29,2883,Clothing,West,4941.84,0.6,2451.96,UPI
100,2023-07-07,4740,Furniture,South,3516.3,16.15,1602.01,Cash
101,2023-06-21,4211,Furniture,West,2315.34,3.85,1149.54,Debit Card
102,2023-01-04,2224,Electronics,West,4088.96,5.54,1865.57,UPI
103,2023-09-05,4150,Grocery,West,1507.17,12.96,173.57,Credit Card
104,2023-02-11,2045,Electronics,South,1861.42,20.55,696.12,Credit Card
105,2023-05-18,3376,Electronics,North,3630.29,3.75,1600.85,Credit Card
106,2023-06-05,2001,Electronics,North,4321.37,2.04,1123.79,Credit Card
107,2023-08-02,3895,Grocery,East,955.36,25.95,87.63,UPI
108,2023-12-12,2808,Electronics,North,3167.81,11.26,1454.85,Credit Card
109,2023-04-20,3234,Electronics,East,4148.8,13.21,435.79,Debit Card
110,2023-01-13,2603,Electronics,North,3577.35,21.3,1063.12,Cash
111,2023-11-16,4048,Clothing,East,4641.18,20.29,1656.09,Credit Card
112,2023-09-03,2467,Clothing,West,3730.14,17.92,585.2,Cash
113,2023-12-14,1109,Furniture,North,2265.86,29.87,198.92,Cash
114,2023-11-17,3329,Electronics,North,3790.56,13.47,1413.87,Credit Card
115,2023-04-10,1170,Electronics,West,4805.13,6.92,2026.52,Cash
116,2023-01-25,3432,Furniture,South,725.79,19.35,321.28,Cash
117,2023-01-13,2193,Electronics,East,3213.93,18.14,851.86,Cash
118,2023-11-16,2736,Grocery,North,4397.24,17.72,2166.42,UPI
119,2023-06-14,1305,Electronics,South,1514.08,4.79,294.05,Debit Card
120,2023-06-23,3377,Clothing,South,135.81,23.17,2.67,Credit Card
121,2023-07-22,4725,Grocery,East,746.77,1.26,252.77,UPI
